N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"78,300",400,-0.51%,100,"4,674,340","5,969,783",55.82,"30,176,643",21.38,8.69,
2,SK하이닉스,"116,000",500,+0.43%,"5,000","844,483","728,002",49.68,"4,190,855",29.43,4.25,
3,삼성전자우,"72,200",700,-0.96%,100,"594,124","822,887",82.04,"5,068,758",19.72,N/A,
4,LG화학,"813,000","1,000",-0.12%,"5,000","573,916","70,592",42.52,"391,909",75.96,1.84,
5,삼성바이오로직스,"822,000","33,000",+4.18%,"2,500","543,876","66,165",10.36,"221,847",153.04,4.77,
6,셀트리온,"360,500","33,000",+10.08%,"1,000","486,667","134,998",21.19,"5,684,253",97.43,11.19,
7,NAVER,"283,000","2,000",+0.71%,100,"464,865","164,263",55.62,"503,499",56.34,10.56,
8,삼성SDI,"601,000","42,000",+7.51%,"5,000","413,275","68,765",44.14,"825,536",205.05,2.94,
9,현대차,"190,500","1,000",+0.53%,"5,000","407,038","213,668",30.61,"1,482,153",45.52,4.32,
10,카카오,"384,500","11,500",+3.08%,500,"340,039","88,437",31.88,"852,775",-426.75,-5.81,
11,삼성물산,"136,500","3,500",-2.50%,100,"255,101","186,887",14.01,"1,185,104",22.87,4.77,
12,LG생활건강,"1,619,000","19,000",-1.16%,"5,000","252,859","15,618",45.52,"28,392",36.27,20.32,
13,기아차,"62,300",500,-0.80%,"5,000","252,541","405,363",37.38,"1,828,424",28.95,6.50,
14,현대모비스,"251,000","1,000",+0.40%,"5,000","238,587","95,055",43.09,"319,451",15.31,7.28,
15,POSCO,"270,000","3,500",-1.28%,"5,000","235,404","87,187",50.64,"362,511",24.73,4.18,
16,LG전자,"131,500","7,000",+5.62%,"5,000","215,197","163,648",36.24,"7,409,096",28.56,0.22,
17,엔씨소프트,"913,000","15,000",+1.67%,500,"200,440","21,954",48.62,"139,852",35.73,14.72,
18,SK텔레콤,"237,500","9,500",-3.85%,500,"191,771","80,746",33.94,"480,419",17.49,3.92,
19,KB금융,"43,400","2,200",-4.82%,"5,000","180,461","415,808",65.30,"2,650,977",5.29,8.92,
20,한국전력,"26,400",650,-2.40%,"5,000","169,479","641,964",17.13,"4,812,592",183.33,-3.42,
21,SK이노베이션,"183,000","5,000",+2.81%,"5,000","169,212","92,466",24.24,"869,638",-6.96,-0.20,
22,SK,"235,500","4,500",-1.87%,200,"165,698","70,360",21.41,"302,047",993.67,4.31,
23,신한지주,"32,000","1,500",-4.48%,"5,000","165,289","516,527",57.14,"3,573,655",4.59,9.09,
24,삼성생명,"79,100","2,300",-2.83%,500,"158,200","200,000",12.01,"974,202",15.89,3.26,
25,LG,"86,000","1,600",-1.83%,"5,000","148,399","172,557",34.17,"657,910",12.16,5.87,
26,삼성에스디에스,"177,500",500,-0.28%,500,"137,346","77,378",11.52,"179,872",26.20,11.76,
27,삼성전기,"177,000","9,500",+5.67%,"5,000","132,208","74,694",34.11,"1,161,789",36.26,10.18,
28,SK바이오팜,"168,000",500,+0.30%,500,"131,566","78,313",5.12,"165,078",-152.73,-313.66,
29,아모레퍼시픽,"206,500","5,500",+2.74%,500,"120,717","58,458",32.23,"201,672",331.99,5.36,
30,KT&G,"83,300","5,300",-5.98%,"5,000","114,365","137,292",40.27,"1,495,987",11.62,12.39,
31,넷마블,"126,000","1,500",+1.20%,100,"108,165","85,845",22.51,"255,163",51.03,3.54,
32,하나금융지주,"34,100","1,750",-4.88%,"5,000","102,383","300,242",65.00,"2,288,763",4.17,8.77,
33,롯데케미칼,"264,500","1,000",-0.38%,"5,000","90,658","34,275",26.39,"193,370",78.19,5.51,
34,삼성화재,"188,000","8,000",-4.08%,500,"89,065","47,375",44.53,"252,078",13.75,4.85,
35,한온시스템,"15,950",0,0.00%,100,"85,141","533,800",20.39,"895,874",60.65,14.98,
36,S-Oil,"68,000",100,-0.15%,"2,500","76,556","112,583",75.71,"387,723",-9.12,1.01,
37,고려아연,"403,000","13,000",-3.12%,"5,000","76,046","18,870",23.67,"66,813",13.58,9.76,
38,한화솔루션,"47,500","2,450",+5.44%,"5,000","75,936","159,864",19.04,"6,803,309",-84.52,-4.02,
39,한국조선해양,"107,000",500,+0.47%,"5,000","75,727","70,773",16.32,"254,663",354.30,1.40,
40,우리금융지주,"9,690",460,-4.53%,"5,000","69,988","722,268",24.95,"4,187,826",5.20,N/A,
41,현대글로비스,"179,000",0,0.00%,500,"67,125","37,500",35.44,"181,390",10.06,11.25,
42,LG디스플레이,"18,600",550,+3.05%,"5,000","66,554","357,816",23.67,"5,823,722",-2.71,-22.35,
43,기업은행,"8,880",600,-6.33%,"5,000","65,593","738,664",10.16,"6,696,802",4.54,7.36,
44,포스코케미칼,"105,000","1,500",+1.45%,500,"64,038","60,988",7.32,"479,056",238.64,11.57,
45,신풍제약,"120,500","8,000",+7.11%,500,"63,847","52,985",12.55,"3,510,847","3,347.22",0.80,
46,KT,"24,200","1,300",-5.10%,"5,000","63,189","261,112",44.09,"3,581,567",10.31,4.61,
